state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate
Hawaii,0.232,0.082,0.123,0.254,0.135,0.175,2016,7921,83914.4,6415,944056,42791,435623,0.442,9792,0.03
Idaho,0.274,0.088,0.118,0.242,0.124,0.153,2016,2247,68837.4,34009,33280,19971,1596776,0.4503,3618,0.038
Illinois,0.242,0.09,0.125,0.267,0.131,0.145,2016,11590,807043.2,88558,764702,1961520,10006929,0.481,24566,0.059
Indiana,0.252,0.094,0.115,0.257,0.133,0.149,2016,5798,340500.7,31611,166827,695682,5743778,0.4527,13904,0.044
Iowa,0.244,0.091,0.116,0.251,0.135,0.163,2016,3064,181011.4,18215,86963,136998,2891034,0.4451,6003,0.037
Kansas,0.262,0.096,0.116,0.248,0.13,0.148,2016,2255,160451.0,42309,99947,207152,2563569,0.455,7913,0.042
Kentucky,0.242,0.09,0.113,0.263,0.137,0.155,2016,4237,196484.9,13920,76978,394945,3954463,0.4813,7550,0.05
Louisiana,0.255,0.093,0.126,0.252,0.13,0.145,2016,3994,227090.7,39620,93141,1556705,2991880,0.499,6770,0.061
Maine,0.205,0.072,0.107,0.263,0.161,0.193,2016,2241,60254.4,11011,18278,24849,1278210,0.4519,2118,0.039
Maryland,0.238,0.085,0.124,0.274,0.134,0.146,2016,7689,387733.4,41018,424595,1906850,3634551,0.4499,22015,0.043
Massachusetts,0.218,0.089,0.127,0.27,0.138,0.158,2016,19608,514637.6,39675,487429,638884,5661292,0.4786,44834,0.037
Michigan,0.232,0.094,0.113,0.257,0.143,0.162,2016,9316,490264.0,89858,342850,1491512,8029897,0.4695,28244,0.049
Minnesota,0.245,0.085,0.124,0.261,0.136,0.149,2016,7341,344060.8,85442,292779,393255,4753884,0.4496,16581,0.039
Mississippi,0.262,0.094,0.109,0.255,0.129,0.151,2016,1738,107291.4,18749,35684,1144097,1792065,0.4828,1124,0.058
Missouri,0.244,0.087,0.118,0.256,0.137,0.159,2016,6194,300914.5,42878,143133,764751,5140622,0.4646,6232,0.045
Montana,0.232,0.092,0.108,0.239,0.151,0.178,2016,1418,45490.9,75495,11296,9597,945749,0.4667,1026,0.041
Nebraska,0.259,0.094,0.119,0.25,0.129,0.149,2016,2754,118145.9,31068,53836,110030,1711549,0.4477,6024,0.032
Nevada,0.242,0.089,0.127,0.266,0.125,0.151,2016,7398,151840.4,56308,294913,314504,2253830,0.4577,2866,0.057
New Hampshire,0.21,0.082,0.108,0.273,0.158,0.169,2016,1366,79090.1,4996,41958,25829,1270911,0.4304,3995,0.028
New Jersey,0.236,0.085,0.115,0.277,0.135,0.152,2016,8895,575501.0,64300,892687,1388920,6527677,0.4813,38908,0.05
New Mexico,0.248,0.093,0.118,0.243,0.134,0.165,2016,2263,89769.4,239975,44231,63322,1745027,0.4769,2609,0.067
New York,0.223,0.093,0.131,0.268,0.132,0.153,2016,86352,1551354.1,227949,1811451,3635011,13961980,0.5129,88805,0.048
North Carolina,0.242,0.087,0.115,0.27,0.131,0.155,2016,9559,526029.8,170658,332508,2338708,7319928,0.478,21565,0.051
North Dakota,0.243,0.107,0.135,0.241,0.131,0.144,2016,923,51989.2,44774,13051,25450,672839,0.4533,1589,0.032
Ohio,0.238,0.087,0.116,0.256,0.141,0.161,2016,10404,623265.3,42338,292438,1600116,9705168,0.468,25041,0.049
Oklahoma,0.263,0.092,0.122,0.246,0.127,0.15,2016,4107,181244.4,425179,106235,347566,3049163,0.4645,8011,0.049
Oregon,0.223,0.088,0.127,0.258,0.136,0.169,2016,13238,211305.9,90246,231264,112924,3658837,0.4583,13081,0.049
Pennsylvania,0.222,0.084,0.119,0.257,0.145,0.173,2016,15339,726561.9,56144,477806,1604591,10649927,0.4689,38966,0.054
Rhode Island,0.213,0.096,0.12,0.263,0.145,0.164,2016,1160,57353.5,12423,42496,96319,906578,0.4781,4242,0.053
South Carolina,0.237,0.087,0.116,0.256,0.136,0.169,2016,5051,215120.2,29412,94213,1399746,3439660,0.4735,5811,0.048
South Dakota,0.263,0.088,0.123,0.233,0.137,0.157,2016,1072,49151.4,83871,14243,21702,743877,0.4495,3337,0.028
Tennessee,0.24,0.088,0.118,0.265,0.132,0.157,2016,8779,336413.9,32646,136672,1176679,5305280,0.479,8066,0.048
Texas,0.279,0.097,0.13,0.262,0.113,0.12,2016,23122,1579014.9,312609,1496000,3656534,22448921,0.48,110382,0.046
Utah,0.321,0.108,0.131,0.238,0.097,0.105,2016,2807,157827.3,52401,120560,52664,2818616,0.4263,7669,0.034
Vermont,0.204,0.085,0.106,0.261,0.159,0.186,2016,1117,31661.2,3115,11942,10379,598930,0.4539,758,0.033
Virginia,0.239,0.088,0.121,0.272,0.133,0.149,2016,6268,496021.1,50744,611331,1743812,6011764,0.4705,36646,0.04
Washington,0.236,0.089,0.13,0.264,0.132,0.149,2016,20827,487275.1,168286,756975,377112,5997588,0.4591,29102,0.054
West Virginia,0.217,0.085,0.104,0.258,0.148,0.188,2016,1387,70924.4,4617,17558,74558,1735702,0.4711,1290,0.06
Wisconsin,0.234,0.09,0.115,0.258,0.144,0.16,2016,5685,314073.3,74682,180144,421190,5099154,0.4498,8141,0.041
Wyoming,0.255,0.089,0.121,0.245,0.141,0.15,2016,857,35879.0,17639,7231,9703,550670,0.436,530,0.053
Alabama,0.24,0.091,0.113,0.255,0.136,0.165,2017,3793,214606.3,36834,83101,1335123,3422931,0.4768,3546,0.044
Alaska,0.271,0.09,0.138,0.259,0.13,0.113,2017,1845,53301.5,127751,64937,36444,511851,0.4241,2792,0.072
Arizona,0.247,0.093,0.119,0.245,0.123,0.173,2017,8947,332001.8,402447,302317,402977,5940347,0.4668,13662,0.049
Arkansas,0.251,0.091,0.113,0.25,0.13,0.165,2017,2467,122466.7,33426,64953,488611,2416865,0.4725,2503,0.037
California,0.242,0.096,0.135,0.266,0.122,0.14,2017,131532,2728743.1,781010,6555922,2842207,29158646,0.4866,109976,0.048
Colorado,0.238,0.09,0.139,0.266,0.128,0.14,2017,10940,349156.5,108006,226588,296989,4985838,0.4553,8839,0.028
Connecticut,0.222,0.086,0.114,0.267,0.147,0.166,2017,3388,271443.2,24238,183675,455143,2912268,0.4943,14779,0.047
Delaware,0.224,0.084,0.119,0.249,0.143,0.183,2017,994,68302.5,7063,41719,229847,679313,0.4811,1714,0.046
District of Columbia,0.191,0.098,0.215,0.269,0.104,0.124,2017,7473,133243.5,5129,34129,338701,319120,,3855,
Florida,0.213,0.083,0.114,0.254,0.135,0.202,2017,32190,1003144.0,117629,695958,3680462,16483040,0.4859,161644,0.042
Georgia,0.258,0.09,0.12,0.272,0.124,0.136,2017,10174,573777.2,60194,478627,3445145,6433065,0.483,21846,0.047
Hawaii,0.231,0.074,0.125,0.252,0.134,0.184,2017,7220,87217.4,6388,943621,43225,432529,0.4455,4814,0.024
Idaho,0.273,0.089,0.113,0.244,0.126,0.154,2017,2037,71730.3,34791,34760,20986,1629208,0.4478,1822,0.032
Illinois,0.241,0.089,0.124,0.263,0.132,0.15,2017,10798,824913.4,88713,781503,1953159,9956518,0.4818,30046,0.05
Indiana,0.25,0.092,0.117,0.256,0.133,0.153,2017,5438,352601.0,32236,173488,705994,5750350,0.4497,9312,0.035
Iowa,0.248,0.09,0.115,0.248,0.136,0.164,2017,2756,184561.3,18562,90542,143457,2891173,0.4381,6196,0.031
Kansas,0.26,0.094,0.117,0.244,0.132,0.153,2017,2287,165182.5,42478,100965,207125,2560324,0.4539,2531,0.036
Kentucky,0.242,0.088,0.114,0.26,0.137,0.159,2017,4025,201872.2,13916,79853,400943,3960878,0.4784,6464,0.049
Louisiana,0.255,0.094,0.121,0.251,0.131,0.149,2017,3305,241213.4,40085,93913,1559704,2979971,0.4935,3724,0.051
Maine,0.201,0.071,0.11,0.258,0.161,0.199,2017,2280,62253.6,11151,18640,25670,1280282,0.4526,774,0.033
Maryland,0.236,0.085,0.123,0.271,0.137,0.149,2017,7247,400157.0,41947,434483,1923888,3627868,0.453,23450,0.041
Massachusetts,0.216,0.086,0.131,0.267,0.139,0.162,2017,17565,531008.0,40349,505728,655095,5662388,0.4851,48583,0.037
Michigan,0.23,0.092,0.114,0.253,0.143,0.167,2017,9051,502130.4,90684,355397,1494889,8035782,0.4671,21372,0.046
Minnesota,0.244,0.085,0.124,0.259,0.137,0.152,2017,7668,353664.9,86692,301703,410987,4769901,0.4516,11352,0.035
Mississippi,0.259,0.095,0.105,0.254,0.131,0.156,2017,1472,109600.8,19061,36289,1145930,1789394,0.479,2641,0.051
Missouri,0.241,0.086,0.122,0.25,0.137,0.164,2017,6037,308002.3,43846,148499,768853,5150184,0.4618,8714,0.038
Montana,0.225,0.093,0.113,0.241,0.148,0.181,2017,1529,48533.9,76675,11765,10054,955368,0.4539,1106,0.04
Nebraska,0.26,0.09,0.124,0.244,0.131,0.152,2017,2501,121726.6,31921,56016,111846,1717215,0.4391,4822,0.029
Nevada,0.239,0.087,0.127,0.268,0.125,0.155,2017,7833,160653.1,57796,305544,329702,2279055,0.4606,2951,0.05
New Hampshire,0.204,0.081,0.114,0.267,0.161,0.175,2017,1456,80598.0,5099,42822,27064,1275410,0.4386,2763,0.027
New Jersey,0.233,0.083,0.116,0.274,0.137,0.156,2017,8536,587421.0,65605,915133,1396146,6511263,0.4794,45043,0.046
New Mexico,0.25,0.094,0.116,0.236,0.135,0.169,2017,2482,92273.6,241914,44701,64178,1742051,0.4776,2251,0.062
New York,0.221,0.091,0.132,0.264,0.133,0.159,2017,89503,1604649.9,228588,1838717,3631243,13895301,0.5157,69336,0.047
North Carolina,0.241,0.085,0.117,0.267,0.131,0.16,2017,8962,548522.1,173206,350080,2369680,7382792,0.4763,21393,0.046
North Dakota,0.244,0.104,0.136,0.237,0.135,0.146,2017,1089,55394.7,44969,14578,26987,670221,0.4546,2875,0.026
Ohio,0.237,0.087,0.118,0.253,0.141,0.165,2017,10095,645636.8,43099,306406,1616703,9699498,0.4642,20084,0.05
Oklahoma,0.262,0.09,0.122,0.246,0.128,0.153,2017,4199,190553.0,429705,108086,349923,3045888,0.4658,4850,0.043
Oregon,0.222,0.085,0.129,0.259,0.134,0.171,2017,13953,222601.6,92038,239926,116436,3698894,0.4593,8316,0.041
Pennsylvania,0.222,0.083,0.118,0.255,0.145,0.177,2017,14138,746441.0,57793,492848,1620466,10623572,0.4777,32239,0.049
Rhode Island,0.212,0.093,0.124,0.259,0.145,0.167,2017,1180,58085.0,12739,42574,97985,903256,0.4722,2282,0.045
South Carolina,0.233,0.086,0.114,0.256,0.136,0.175,2017,3916,223266.7,29943,98827,1410048,3488284,0.4795,6493,0.043
South Dakota,0.256,0.086,0.124,0.235,0.137,0.162,2017,943,50232.5,84642,15569,23562,749959,0.4488,3846,0.033
Tennessee,0.239,0.086,0.121,0.261,0.134,0.159,2017,8309,350838.7,33791,142171,1189556,5349230,0.4822,9540,0.037
Texas,0.277,0.095,0.13,0.262,0.114,0.122,2017,23548,1673234.3,318249,1561314,3740639,22670822,0.4781,96215,0.043
Utah,0.315,0.107,0.131,0.242,0.097,0.108,2017,2852,168649.9,53671,126504,55518,2867847,0.4225,9255,0.032
Vermont,0.2,0.087,0.109,0.253,0.16,0.19,2017,1225,32266.1,3140,12928,10714,598350,0.4525,1919,0.03
Virginia,0.237,0.088,0.121,0.269,0.133,0.153,2017,6067,511114.9,51576,629761,1760115,6029559,0.4674,33741,0.038
Washington,0.235,0.087,0.133,0.262,0.131,0.151,2017,21112,519409.6,172482,795024,391382,6069063,0.4561,30495,0.048
West Virginia,0.219,0.084,0.101,0.255,0.148,0.194,2017,1309,74820.1,4649,17436,74520,1722078,0.4686,592,0.052
Wisconsin,0.234,0.088,0.114,0.255,0.144,0.165,2017,5027,318310.4,75911,185950,425944,5105342,0.4467,8239,0.033
Wyoming,0.253,0.086,0.123,0.236,0.145,0.157,2017,873,36980.7,17645,7507,9709,545133,0.4326,795,0.042
Alabama,0.237,0.088,0.117,0.251,0.136,0.171,2018,3434,223859.3,37220,84667,1340474,3429267,0.4859,3940,0.039
Alaska,0.27,0.088,0.132,0.258,0.133,0.121,2018,2016,54899.6,128089,65043,36516,506976,0.4322,742,0.066
Arizona,0.244,0.092,0.12,0.243,0.123,0.178,2018,9865,351879.5,409153,310022,418432,6026621,0.4613,8180,0.048
Arkansas,0.249,0.087,0.118,0.247,0.13,0.167,2018,2712,127535.7,34141,66272,490916,2420832,0.4845,1052,0.037
California,0.241,0.093,0.137,0.264,0.122,0.144,2018,129972,2897200.7,784941,6665890,2855036,29131596,0.4912,68369,0.042
Colorado,0.238,0.089,0.139,0.265,0.126,0.143,2018,10857,372212.1,110507,234786,304935,5046927,0.4561,11306,0.033
Connecticut,0.222,0.084,0.112,0.265,0.147,0.171,2018,3976,279923.0,25306,187086,461907,2900262,0.5014,18949,0.041
Delaware,0.22,0.082,0.117,0.249,0.143,0.19,2018,1082,72168.3,7313,43041,233959,682672,0.4587,670,0.038
District of Columbia,0.195,0.096,0.212,0.269,0.105,0.124,2018,6904,139722.5,5161,35012,338776,325198,,3055,
Florida,0.211,0.081,0.115,0.251,0.136,0.206,2018,31030,1057255.4,120713,714556,3740150,16679507,0.4887,132690,0.036
Georgia,0.256,0.088,0.124,0.269,0.124,0.14,2018,9499,602366.4,61335,494578,3500431,6463045,0.4822,17766,0.039
Hawaii,0.23,0.073,0.124,0.251,0.132,0.191,2018,6530,90330.8,6408,942935,43529,430230,0.445,4537,0.024
Idaho,0.269,0.088,0.118,0.241,0.124,0.16,2018,2012,77395.4,35510,35735,21813,1659016,0.4454,463,0.028
Illinois,0.238,0.089,0.124,0.261,0.133,0.155,2018,10643,865661.0,89012,793967,1947343,9894363,0.4852,20899,0.043
Indiana,0.248,0.09,0.118,0.254,0.133,0.157,2018,5258,373196.8,33130,183517,719315,5762519,0.4511,15414,0.034
Iowa,0.247,0.089,0.115,0.245,0.135,0.169,2018,2749,191516.6,19079,92491,148331,2889999,0.4413,3089,0.025
Kansas,0.259,0.093,0.116,0.245,0.132,0.157,2018,2216,172343.0,42737,103216,208276,2558519,0.4633,4307,0.034
Kentucky,0.237,0.09,0.116,0.256,0.137,0.165,2018,3688,208558.6,14133,81171,404662,3964307,0.4787,1490,0.043
Louisiana,0.253,0.091,0.122,0.249,0.131,0.155,2018,3059,256677.8,40282,94749,1560945,2968474,0.4936,3747,0.049
Maine,0.193,0.072,0.108,0.256,0.165,0.206,2018,2516,65477.1,11255,19015,26658,1283195,0.4516,1024,0.034
Maryland,0.235,0.084,0.121,0.268,0.138,0.154,2018,7144,410812.2,42930,440667,1937943,3620613,0.4543,16629,0.039
Massachusetts,0.212,0.087,0.131,0.263,0.141,0.166,2018,20068,563054.3,41071,517946,668960,5657743,0.4875,37740,0.033
Michigan,0.228,0.091,0.118,0.249,0.143,0.172,2018,8351,520245.1,91072,363703,1498013,8034498,0.4679,14012,0.041
Minnesota,0.244,0.084,0.125,0.255,0.137,0.156,2018,7243,372011.3,88008,309928,428105,4782721,0.4536,10089,0.029
Mississippi,0.255,0.091,0.113,0.249,0.131,0.16,2018,1352,112201.7,19212,37034,1145262,1781371,0.4828,2089,0.048
Missouri,0.237,0.088,0.12,0.248,0.139,0.169,2018,5883,318153.5,44641,152425,772562,5156358,0.4657,6373,0.032
Montana,0.225,0.082,0.115,0.24,0.147,0.192,2018,1405,50916.9,77119,12096,10261,962342,0.4535,435,0.037
Nebraska,0.261,0.087,0.12,0.246,0.13,0.156,2018,2421,127015.5,32917,58030,114258,1720307,0.4488,3478,0.028
Nevada,0.237,0.084,0.129,0.265,0.125,0.159,2018,7544,170257.6,59401,315353,344235,2311736,0.469,-697,0.046
New Hampshire,0.203,0.081,0.112,0.261,0.162,0.181,2018,1450,83869.8,5199,43476,28365,1278024,0.453,2570,0.025
New Jersey,0.232,0.083,0.115,0.271,0.138,0.161,2018,9398,614106.5,66875,928234,1402945,6493676,0.4836,27118,0.041
New Mexico,0.244,0.091,0.117,0.237,0.133,0.178,2018,2551,97268.0,243895,45541,65357,1738961,0.4891,1623,0.049
New York,0.22,0.087,0.134,0.26,0.135,0.164,2018,91897,1697661.4,229314,1856998,3625651,13832135,0.513,57774,0.041
North Carolina,0.237,0.085,0.117,0.264,0.133,0.164,2018,9268,567836.2,175760,363211,2400642,7451745,0.4782,16207,0.039
North Dakota,0.242,0.108,0.136,0.233,0.132,0.15,2018,542,59248.7,45490,14914,28730,670928,0.4427,1247,0.026
Ohio,0.235,0.086,0.119,0.251,0.141,0.17,2018,10249,667115.6,44028,317017,1633573,9686274,0.4667,14101,0.046
Oklahoma,0.259,0.087,0.126,0.244,0.127,0.157,2018,3871,202712.5,434546,110576,352427,3045939,0.4687,4875,0.034
Oregon,0.218,0.085,0.129,0.259,0.131,0.177,2018,14476,237113.7,93781,246078,119857,3723822,0.4582,3592,0.042
Pennsylvania,0.22,0.083,0.119,0.252,0.145,0.182,2018,13512,773977.4,59821,506782,1638629,10603875,0.4747,32997,0.043
Rhode Island,0.205,0.091,0.127,0.259,0.146,0.173,2018,1101,59290.8,13094,43548,100732,901964,0.47,4631,0.041
South Carolina,0.234,0.086,0.113,0.252,0.137,0.179,2018,3933,233251.4,30597,103540,1421307,3536258,0.4762,6869,0.034
South Dakota,0.258,0.091,0.114,0.236,0.138,0.164,2018,1159,52299.3,85454,15489,24265,754178,0.4445,638,0.03
Tennessee,0.237,0.087,0.12,0.26,0.134,0.163,2018,7883,363055.5,34757,148496,1201168,5393759,0.4778,10424,0.035
Texas,0.275,0.094,0.13,0.262,0.114,0.125,2018,25310,1809396.7,323985,1613295,3818499,22868785,0.4822,69138,0.039
Utah,0.311,0.109,0.13,0.244,0.096,0.111,2018,2876,184457.5,54769,131354,57842,2911188,0.4269,6112,0.031
Vermont,0.195,0.081,0.114,0.252,0.159,0.198,2018,1291,33066.8,3164,13058,10996,597584,0.4473,551,0.027
Virginia,0.236,0.086,0.122,0.265,0.133,0.158,2018,5975,532906.5,52155,642589,1774602,6041574,0.4754,17189,0.03
Washington,0.232,0.084,0.139,0.26,0.13,0.155,2018,22304,564313.9,175405,830028,405041,6116319,0.4574,23605,0.045
West Virginia,0.213,0.082,0.105,0.253,0.146,0.201,2018,1243,79192.9,4647,17229,74622,1709455,0.4742,54,0.053
Wisconsin,0.231,0.086,0.114,0.256,0.144,0.169,2018,4907,332498.6,77012,188960,430314,5113033,0.4483,6011,0.03
Wyoming,0.243,0.083,0.121,0.244,0.141,0.169,2018,639,39171.7,17874,7794,9766,543620,0.4555,708,0.041
Alabama,0.237,0.087,0.115,0.251,0.135,0.175,2019,3261,231561.9,37699,86288,1345267,3438711,0.4741,2293,0.03
Alaska,0.259,0.093,0.139,0.246,0.132,0.13,2019,1907,54728.2,128158,65688,36330,503427,0.4376,1232,0.061
Arizona,0.24,0.093,0.121,0.241,0.124,0.182,2019,10007,372393.5,415075,321459,434571,6120738,0.4591,11618,0.047
Arkansas,0.247,0.087,0.115,0.248,0.131,0.173,2019,2717,131578.3,34629,68061,493205,2425090,0.475,1668,0.035
California,0.237,0.092,0.137,0.263,0.123,0.149,2019,151278,3042694.1,790100,6751372,2863760,29032378,0.4866,33553,0.04
Colorado,0.231,0.089,0.141,0.265,0.126,0.148,2019,9619,394534.7,112626,239986,310725,5095149,0.4548,3576,0.028
Connecticut,0.217,0.086,0.113,0.259,0.148,0.177,2019,3033,288536.3,26018,189704,469253,2881047,0.5024,10290,0.037
Delaware,0.218,0.081,0.118,0.242,0.144,0.197,2019,921,76923.7,7478,44511,238438,686241,0.4509,1447,0.038
District of Columbia,0.195,0.09,0.216,0.269,0.103,0.127,2019,6521,143990.8,5230,35822,336649,330552,,2751,
Florida,0.209,0.08,0.114,0.249,0.137,0.211,2019,28328,1111392.2,123834,732893,3792456,16842873,0.4808,88787,0.031
Georgia,0.253,0.089,0.122,0.267,0.125,0.145,2019,10443,637992.5,62753,511318,3558046,6495903,0.4795,16252,0.034
Hawaii,0.228,0.072,0.116,0.255,0.132,0.197,2019,6412,91912.7,6386,939090,43545,426594,0.4397,2778,0.027
Idaho,0.267,0.085,0.12,0.242,0.125,0.162,2019,2315,82847.2,36262,37112,22788,1692898,0.4337,758,0.029
Illinois,0.237,0.087,0.126,0.258,0.132,0.16,2019,10199,889540.1,90028,802273,1942548,9832168,0.48,13235,0.04
Indiana,0.246,0.091,0.118,0.25,0.134,0.161,2019,5471,381132.3,33930,191000,731116,5774964,0.4584,10913,0.033
Iowa,0.244,0.089,0.114,0.243,0.136,0.174,2019,2315,195708.7,19500,95673,153407,2891016,0.4422,6921,0.027
Kansas,0.257,0.092,0.116,0.241,0.131,0.164,2019,2381,176564.4,43263,104121,209225,2556026,0.45,3016,0.032
Kentucky,0.237,0.089,0.114,0.254,0.137,0.17,2019,4079,218494.7,14266,83577,409605,3964897,0.4764,2538,0.043
Louisiana,0.25,0.088,0.123,0.248,0.132,0.16,2019,2941,255481.9,40372,96132,1562580,2959201,0.4978,6070,0.048
Maine,0.19,0.075,0.11,0.252,0.16,0.213,2019,2106,68690.4,11411,19629,28067,1286663,0.449,2057,0.03
Maryland,0.233,0.081,0.123,0.265,0.138,0.16,2019,6561,420371.3,43809,447094,1952942,3611109,0.4558,16757,0.036
Massachusetts,0.209,0.087,0.132,0.26,0.141,0.171,2019,18471,589904.3,41732,531555,681183,5640413,0.4803,30022,0.029
Michigan,0.227,0.091,0.118,0.246,0.142,0.177,2019,8575,532217.0,91974,367294,1500653,8024874,0.4634,9228,0.041
Minnesota,0.243,0.082,0.125,0.252,0.137,0.162,2019,7977,383956.6,88547,316960,444153,4790393,0.4434,9317,0.032
Mississippi,0.254,0.089,0.11,0.251,0.131,0.165,2019,1184,114234.4,19441,37607,1144256,1776923,0.4896,730,0.054
Missouri,0.236,0.085,0.121,0.246,0.139,0.172,2019,6179,332485.8,45541,157393,775337,5162204,0.4633,6657,0.033
Montana,0.226,0.085,0.114,0.236,0.143,0.196,2019,1357,51925.4,77469,12811,10637,969206,0.4597,1277,0.035
Nebraska,0.26,0.088,0.122,0.24,0.129,0.162,2019,2365,131866.9,33496,59182,116163,1723730,0.44,2220,0.03
Nevada,0.235,0.083,0.131,0.262,0.126,0.163,2019,7169,182186.3,61041,327908,357741,2344081,0.471,5814,0.039
New Hampshire,0.201,0.078,0.115,0.258,0.163,0.186,2019,1396,87338.2,5227,44460,29756,1281340,0.4406,2842,0.025
New Jersey,0.23,0.082,0.117,0.267,0.139,0.165,2019,8862,637630.4,68433,940689,1411950,6470186,0.4782,23880,0.036
New Mexico,0.24,0.09,0.117,0.238,0.132,0.183,2019,3241,102027.5,245110,46605,67251,1740668,0.4768,3334,0.049
New York,0.217,0.086,0.134,0.257,0.136,0.169,2019,92091,1787666.0,229864,1873312,3616173,13743782,0.5149,41869,0.04
North Carolina,0.235,0.086,0.118,0.26,0.133,0.169,2019,9314,594521.0,178127,377398,2429797,7516062,0.4743,16329,0.039
North Dakota,0.245,0.102,0.137,0.232,0.128,0.156,2019,557,59199.2,45922,15032,29804,672966,0.4558,634,0.024
Ohio,0.234,0.085,0.119,0.248,0.14,0.174,2019,10345,697166.8,44751,328327,1648429,9675000,0.4651,15768,0.041
Oklahoma,0.256,0.091,0.123,0.242,0.127,0.16,2019,3944,204192.5,437796,113408,356314,3053158,0.4739,3325,0.033
Oregon,0.214,0.084,0.128,0.261,0.129,0.183,2019,15876,247233.1,95266,251488,123041,3746321,0.45,2272,0.037
Pennsylvania,0.219,0.079,0.123,0.248,0.145,0.187,2019,13199,799888.8,61179,518245,1650596,10568863,0.4745,14722,0.044
Rhode Island,0.207,0.088,0.127,0.253,0.148,0.178,2019,1055,61642.8,13312,43598,102576,898672,0.4628,1295,0.036
South Carolina,0.23,0.082,0.116,0.249,0.138,0.184,2019,4172,245987.2,31377,108641,1432329,3585355,0.4747,7353,0.028
South Dakota,0.257,0.082,0.115,0.235,0.136,0.174,2019,995,54001.3,85549,16293,25381,759904,0.436,2334,0.033
Tennessee,0.235,0.086,0.124,0.254,0.134,0.167,2019,7467,380128.5,35680,152154,1210654,5431837,0.4749,3777,0.034
Texas,0.272,0.094,0.13,0.261,0.114,0.129,2019,25848,1858757.8,331717,1667003,3898379,23089695,0.4753,66791,0.035
Utah,0.308,0.109,0.132,0.242,0.095,0.115,2019,2798,196538.9,56091,135577,60317,2951398,0.4268,2616,0.026
Vermont,0.195,0.086,0.111,0.247,0.158,0.204,2019,1089,34230.8,3172,13275,11406,596193,0.4471,635,0.024
Virginia,0.234,0.084,0.12,0.265,0.135,0.163,2019,5783,557764.4,53034,658310,1789585,6055713,0.469,25830,0.028
Washington,0.23,0.084,0.138,0.26,0.129,0.16,2019,21577,595231.8,177856,861815,417649,6156704,0.4577,23434,0.043
West Virginia,0.212,0.081,0.105,0.251,0.146,0.205,2019,1397,79325.6,4753,17504,74895,1698111,0.4644,1185,0.049
Wisconsin,0.23,0.085,0.116,0.251,0.143,0.175,2019,4538,345236.4,78087,193828,433429,5119237,0.4391,4466,0.033
Wyoming,0.251,0.083,0.117,0.242,0.135,0.172,2019,548,39428.0,17857,7827,9865,544567,0.4345,173,0.036
Alabama,0.238,0.087,0.112,0.26,0.126,0.177,2020,3351,230892.1,38347,87585,1350111,3445489,0.4777,2078,0.059
Alaska,0.26,0.09,0.136,0.249,0.118,0.147,2020,1949,50475.2,128350,66126,36078,500604,0.423,1078,0.078
Arizona,0.232,0.101,0.117,0.238,0.12,0.192,2020,10979,382072.3,420587,332262,450623,6217929,0.4661,9272,0.079
Arkansas,0.247,0.094,0.109,0.236,0.132,0.183,2020,2366,133969.1,35401,70520,494526,2430075,0.4792,1517,0.061
California,0.234,0.096,0.134,0.259,0.123,0.154,2020,161548,3020173.4,795861,6819552,2871450,28881215,0.4874,28803,0.101
Colorado,0.225,0.097,0.138,0.265,0.127,0.148,2020,9846,391263.3,114533,245849,316428,5130909,0.4565,3118,0.073
Connecticut,0.215,0.085,0.126,0.234,0.14,0.201,2020,2905,276223.3,26556,191707,476687,2862056,0.4965,9387,0.079
Delaware,0.211,0.09,0.119,0.228,0.145,0.207,2020,1165,75818.6,7703,45178,242960,690968,0.4568,1217,0.078
District of Columbia,0.186,0.11,0.209,0.276,0.088,0.131,2020,6380,144720.0,5175,36628,335168,335845,0.5212,2143,
Florida,0.208,0.074,0.122,0.244,0.141,0.211,2020,27487,1116726.8,126973,750143,3840185,17016011,0.4856,78072,0.077
Georgia,0.248,0.091,0.127,0.276,0.119,0.139,2020,10234,625425.7,64282,524915,3606257,6514563,0.4814,13275,0.065
Hawaii,0.228,0.076,0.122,0.245,0.12,0.209,2020,6458,82535.5,6411,934235,43240,423120,0.4414,2187,0.116
Idaho,0.259,0.102,0.121,0.239,0.125,0.153,2020,2315,85927.8,37161,38588,23969,1727195,0.4422,678,0.054
Illinois,0.235,0.095,0.121,0.253,0.13,0.166,2020,10431,856942.9,91022,807706,1937515,9751287,0.4801,11164,0.095
Indiana,0.251,0.093,0.104,0.254,0.134,0.164,2020,5625,373781.6,34825,197193,741160,5781775,0.4502,8743,0.071
Iowa,0.247,0.091,0.124,0.245,0.129,0.165,2020,2647,196982.9,19901,97733,156619,2889308,0.4405,5511,0.053
Kansas,0.25,0.089,0.133,0.253,0.108,0.168,2020,2449,177580.9,43774,105139,210495,2554397,0.4561,2483,0.059
Kentucky,0.235,0.082,0.134,0.232,0.144,0.173,2020,4011,216865.6,14510,85752,413976,3963013,0.4776,2210,0.066
Louisiana,0.251,0.089,0.121,0.243,0.131,0.165,2020,3173,232527.8,40734,97146,1561145,2946293,0.4991,4928,0.083
